,,,8x Compression,,,,,80x Compression,,,,
Folder,Filename,Original Size (bytes),Size (bytes),Real Time (s),MSE (4 d.p),PSNR (4 d.p),SSIM (4 d.p),Size (bytes),Real Time (s),MSE (4 d.p),PSNR (4 d.p),SSIM (4 d.p)
ACE_outside_2xpct,P00_T00_L01_00,1596702,262061,0.29,510.9419,0.1885,0.8003,26105,0.279,568.8209,0.1693,0.3836
,P00_T00_L02_00,1748434,261780,0.282,553.4122,0.1741,0.8374,26048,0.281,625.5598,0.1539,0.3922
,P00_T00_L03_00,1669407,262117,0.281,580.4763,0.1659,0.8608,26094,0.278,652.6061,0.1476,0.4324
,P00_T00_R01_00,1709277,262141,0.3,529.2761,0.182,0.8095,26107,0.288,584.1468,0.1649,0.3659
,P00_T00_R02_00,1696972,262028,0.291,588.3433,0.1637,0.8345,25861,0.278,651.6186,0.1478,0.3685
,P00_T00_R03_00,1671523,262101,0.284,552.4899,0.1744,0.8597,26082,0.274,623.6293,0.1545,0.4291
,L0123-Composite,2749794,393086,0.425,,,,39240,0.417,,,
,R0123-Composite,2698344,393223,0.417,,,,39335,0.398,,,
ACE_outside_brickpattern,P00_T00_L01_00,1609526,261914,0.294,782.3068,0.1231,0.67,25994,0.281,791.0699,0.1218,0.3591
,P00_T00_L02_00,1579151,261783,0.301,882.9809,0.1091,0.6806,26180,0.276,893.2758,0.1078,0.3578
,P00_T00_L03_00,1550523,261864,0.293,926.5665,0.1039,0.649,26160,0.275,929.9862,0.1036,0.3701
,P00_T00_R01_00,1598862,261934,0.299,638.5632,0.1509,0.7229,25990,0.279,671.1303,0.1435,0.3746
,P00_T00_R02_00,1564685,262154,0.29,762.9493,0.1263,0.7299,26220,0.281,791.8189,0.1217,0.3625
,P00_T00_R03_00,1543539,261996,0.286,836.9289,0.1151,0.6934,26015,0.273,858.4632,0.1122,0.3849
,L0123-Composite,2765778,393096,0.414,,,,39316,0.407,,,
,R0123-Composite,2777710,393065,0.411,,,,39246,0.392,,,
ACE_sandpit_2xpct,P00_T00_L01_00,720540,,,,,,,,,,
,P00_T00_L02_00,806461,,,,,,,,,,
,P00_T00_L03_00,822020,,,,,,,,,,
,P00_T00_R01_00,700044,,,,,,,,,,
,P00_T00_R02_00,783363,,,,,,,,,,
,P00_T00_R03_00,827179,,,,,,,,,,
,L0123-Composite,2641724,,,,,,,,,,
,R0123-Composite,2632528,,,,,,,,,,
acli_desk_items,comptest_objects1-desk_LWAC01_T00_P00,940728,261801,0.241,69.4112,1.3878,0.8491,26132,0.246,75.9991,1.2675,0.2787
,comptest_objects1-desk_LWAC02_T00_P00,952312,262067,0.245,71.796,1.3417,0.8636,26140,0.244,78.8079,1.2223,0.2919
,comptest_objects1-desk_LWAC03_T00_P00,967726,262099,0.249,70.8541,1.3595,0.847,26228,0.242,77.8654,1.2371,0.3119
,comptest_objects1-desk_RWAC01_T00_P00,984918,261889,0.253,463.0589,0.208,0.632,26229,0.246,464.7944,0.2073,0.2958
,comptest_objects1-desk_RWAC02_T00_P00,977744,262069,0.253,450.2127,0.2139,0.6565,26136,0.248,451.6977,0.2133,0.3019
,comptest_objects1-desk_RWAC03_T00_P00,955770,262011,0.245,391.7082,0.2459,0.6927,26216,0.242,392.8783,0.2452,0.3023
,L0123-Composite,2143196,392821,0.323,,,,39158,0.309,,,
,R0123-Composite,2263410,393022,0.342,,,,39190,0.33,,,
acli_desk_rocks,comptest_objects3-desk3_LWAC01_T00_P00,1018060,262125,0.256,227.2918,0.4238,0.4861,26168,0.248,226.0822,0.4261,0.212
,comptest_objects3-desk3_LWAC02_T00_P00,1019407,262067,0.252,212.237,0.4539,0.5057,26137,0.246,211.2615,0.4559,0.2056
,comptest_objects3-desk3_LWAC03_T00_P00,1017347,262133,0.242,264.7528,0.3638,0.3593,26082,0.246,261.5293,0.3683,0.2057
,comptest_objects3-desk3_RWAC01_T00_P00,1008835,262026,0.251,210.3174,0.458,0.4469,25967,0.243,208.5426,0.4619,0.1724
,comptest_objects3-desk3_RWAC02_T00_P00,1010680,262119,0.252,158.7907,0.6066,0.5366,26213,0.25,158.3709,0.6083,0.1747
,comptest_objects3-desk3_RWAC03_T00_P00,1012794,262117,0.25,262.3866,0.3671,0.2381,25911,0.242,257.8333,0.3736,0.1761
,L0123-Composite,2559974,393135,0.359,,,,38961,0.346,,,
,R0123-Composite,2316399,393097,0.354,,,,39316,0.336,,,
acli_floor_items,comptest_objects2-all50_LWAC01_T00_P00,989142,262086,0.242,289.1584,0.3331,0.8315,25998,0.247,295.072,0.3265,0.3262
